Timestamp;.superwatch_ch00;.superwatch_ch01;.superwatch_ch02;.superwatch_ch03
861419;48.312958;78.141151;96.073067;99.378731
863416;48.587780;78.336807;96.159767;99.343277
865422;48.725014;78.531685;96.245514;99.306839
867418;49.135986;78.725792;96.330322;99.269424
869473;49.409363;78.919128;96.414169;99.231026
871457;49.682243;79.111671;96.497070;99.191658
873441;49.818508;79.207657;96.538162;99.171600
875441;50.090660;79.399033;96.619629;99.130753
877441;50.497963;79.684631;96.740044;99.067657
879439;50.768871;79.874054;96.819130;99.024368
881457;51.039284;80.062675;96.897255;98.980103
883420;51.309193;80.250511;96.974434;98.934868
885418;51.443951;80.344139;97.050636;98.888649
887418;51.847477;80.623802;97.125900;98.841446
889420;52.115856;80.809265;97.200203;98.793282
891458;52.383720;80.993927;97.273544;98.744133
893417;52.651070;81.177780;97.345909;98.694016
895421;52.784550;81.269417;97.381744;98.668587
897417;53.184204;81.543098;97.487793;98.590858
899418;53.449982;81.724541;97.557281;98.537811
901422;53.715237;81.905190;97.625816;98.483803
903461;53.979958;82.085022;97.693382;98.428818
905445;54.112125;82.264046;97.759995;98.372856
907443;54.507809;82.442261;97.825623;98.315933
909444;54.770924;82.619652;97.890305;98.258034
911435;55.033501;82.796242;97.954010;98.199165
913455;55.295532;82.972008;98.016754;98.139336
915424;55.426346;83.059586;98.047760;98.109039
917421;55.817963;83.321083;98.139336;98.016754
919423;56.078350;83.494392;98.199165;97.954010
921419;56.338184;83.666870;98.258041;97.890305
923593;56.597466;83.838524;98.315933;97.825623
925448;56.726891;84.009346;98.372864;97.759995
927440;57.114338;84.179344;98.428810;97.693382
929441;57.371937;84.348518;98.483803;97.625816
931440;57.628967;84.516846;98.537811;97.557281
933438;57.885426;84.684349;98.590858;97.487793
935458;58.013447;84.767792;98.617012;97.417328
937443;58.396633;85.016838;98.694016;97.345909
939440;58.651371;85.181831;98.744133;97.273544
941442;58.905529;85.345978;98.793282;97.200203
943438;59.159111;85.509285;98.841461;97.125900
945461;59.285683;85.671745;98.888649;97.050644
947420;59.664516;85.833366;98.934868;96.974426
949422;59.916336;85.994133;98.980103;96.897263
951416;60.167557;86.154053;99.024368;96.819130
953418;60.418190;86.313118;99.067665;96.740051
955586;60.668228;86.471336;99.109970;96.660004
957453;60.917671;86.628708;99.151299;96.579018
959445;61.166508;86.785217;99.191658;96.497070
961442;61.414749;86.940872;99.231041;96.414169
963440;61.662376;87.095665;99.269432;96.330330
965436;61.785961;87.249596;99.306847;96.245529
967461;62.155800;87.402664;99.343277;96.159775
969428;62.401592;87.554878;99.378738;96.073082
971416;62.646778;87.706230;99.413216;95.985428
973421;62.891342;87.856712;99.446701;95.896828
975417;63.013386;87.931625;99.463081;95.852180
977428;63.378597;88.155075;99.510742;95.716805
979455;63.621284;88.302948;99.541290;95.625374
981444;63.863350;88.449951;99.570862;95.533005
983441;64.104782;88.596085;99.599442;95.439682
985435;64.225266;88.741341;99.627045;95.345421
987440;64.585754;88.885727;99.653648;95.250214
989459;64.825279;89.029228;99.679283;95.154076
991424;65.064171;89.171852;99.703934;95.056984
993416;65.302414;89.313599;99.727600;94.958977
995427;65.421295;89.384140;99.739059;94.909622
997417;65.776978;89.594444;99.771973;94.760124
999473;66.013275;89.733543;99.792686;94.659294
1001457;66.248932;89.871750;99.812408;94.557533
1003445;66.483932;90.009071;99.831154;94.454834
1005443;66.601189;90.145515;99.848915;94.351219
1007450;66.951958;90.281044;99.865677;94.246658
1009442;67.184982;90.415703;99.881462;94.141174
1011463;67.417351;90.549477;99.896263;94.034752
1013447;67.649040;90.682343;99.910080;93.927406
1015436;67.764648;90.748444;99.916611;93.873390
1017441;68.110428;90.945396;99.934746;93.709930
1019438;68.340118;91.075569;99.945595;93.599808
1021484;68.569130;91.204857;99.955467;93.488762
1023443;68.683380;91.269150;99.960030;93.432892
1025443;68.911377;91.460716;99.972237;93.263901
1027440;69.252098;91.587288;99.979149;93.150093
1029440;69.478394;91.712967;99.985077;93.035355
1031441;69.703995;91.837730;99.990013;92.919708
1033458;69.928909;91.961586;99.993958;92.803146
1035439;70.041107;92.023178;99.995552;92.744514
1037438;70.376678;92.206589;99.998894;92.567268
1039435;70.599518;92.327728;99.999878;92.447952
1041442;70.821655;92.447945;99.999870;92.327728
1043457;71.043106;92.567253;99.998878;92.206589
1045426;71.153572;92.626572;99.996910;92.084541
1047427;71.483887;92.803131;99.993950;91.961586
1049417;71.703224;92.919701;99.990013;91.837730
1051422;71.921852;93.035355;99.985077;91.712967
1053578;72.139778;93.150093;99.979149;91.587288
1055441;72.248459;93.207100;99.975815;91.524117
1057444;72.573471;93.376793;99.964348;91.333237
1059442;72.789238;93.488762;99.955460;91.204849
1061442;73.004303;93.599808;99.945602;91.075577
1063439;73.004303;93.599808;99.945602;91.075577
1065452;73.325539;93.819138;99.922905;90.814316
1067421;73.645142;93.927399;99.910072;90.682343
1069423;73.857300;94.034752;99.896263;90.549484
1071417;74.068741;94.141174;99.881462;90.415703
1073421;74.279442;94.246658;99.865685;90.281059
1075479;74.384514;94.299049;99.857414;90.213387
1077457;74.698639;94.454834;99.831154;90.009071
1079448;74.907135;94.557533;99.812408;89.871750
1081434;75.114891;94.659302;99.792686;89.733543
1083441;75.321915;94.760124;99.771973;89.594444
1085439;75.425140;94.810188;99.750282;89.454460
1087458;75.733711;94.958969;99.727600;89.313599
1089446;75.938484;95.056984;99.703934;89.171852
1091439;76.142517;95.154068;99.679291;89.029236
1093442;76.345795;95.250214;99.653656;88.885727
1095442;76.447151;95.297935;99.640465;88.813637
1097458;76.750092;95.439674;99.599442;88.596085
1099424;76.951103;95.532997;99.570862;88.449951
1101425;77.151352;95.625374;99.541290;88.302956
1103424;77.251198;95.716797;99.510735;88.155067
1105420;77.450302;95.762161;99.479210;88.006332
1107460;77.747536;95.896828;99.446701;87.856720
1109426;77.944733;95.985428;99.413208;87.706230
1111429;78.141159;96.073074;99.378738;87.554886
1113422;78.336807;96.159767;99.343285;87.402679
1115421;78.434349;96.202766;99.325195;87.326256
1117426;78.725800;96.330322;99.269424;87.095665
1119460;78.919128;96.414169;99.231033;86.940872
1121446;79.111679;96.497070;99.191650;86.785217
1123443;79.303452;96.579018;99.151306;86.628708
1125442;79.399040;96.619629;99.109970;86.471344
1127440;79.684631;96.740044;99.067665;86.313126
1129454;79.874054;96.819130;99.024376;86.154053
1131421;80.062675;96.897255;98.980110;85.994133
1133421;80.250511;96.974426;98.934868;85.833366
1135422;80.344131;97.012650;98.911880;85.752663
1137421;80.623810;97.125900;98.841454;85.509285
1139421;80.809273;97.200203;98.793282;85.345978
1141457;80.993927;97.273544;98.744141;85.181831
1143442;81.177780;97.345917;98.694016;85.016846
1145443;81.269417;97.381744;98.642921;84.851021
1147443;81.543091;97.487785;98.590851;84.684357
1149438;81.724548;97.557289;98.537811;84.516861
1151489;81.905190;97.625816;98.483803;84.348518
1153458;82.085022;97.693382;98.428818;84.179344
